window,cutoff_week,n_train,n_test,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,87,57114,4610,XGBoost,7,depth=6,0.8584812321553172,0.1212019994854927,0.3143167028199566,0.7177874186550977,1.390238611713666
cumulative,87,57114,4610,LightGBM,7,leaves=31,0.8639825456518059,0.1190737531086436,0.3036876355748373,0.6817787418655098,1.3119305856832972
cumulative,87,57114,4610,Dummy,123,const,0.3657266811279826,0.3657266811279826,0.7314533622559652,1.8286334056399132,3.6572668112798263
cumulative,87,57114,4610,Logistic Regression,123,C=0.1,0.8129232628269246,0.1400846843591448,0.4071583514099783,0.9700650759219089,1.90824295010846
cumulative,87,57114,4610,Random Forest,123,depth=20,0.8473707511128152,0.13470823933250314,0.4830802603036876,1.1950108459869848,2.3815618221258132
cumulative,87,57114,4610,XGBoost,123,depth=6,0.8584812321553172,0.1212019994854927,0.3143167028199566,0.7177874186550977,1.390238611713666
cumulative,87,57114,4610,LightGBM,123,leaves=31,0.8639825456518059,0.1190737531086436,0.3036876355748373,0.6817787418655098,1.3119305856832972
cumulative,88,58201,4800,Dummy,42,const,0.36291666666666667,0.36291666666666667,0.7258333333333333,1.8145833333333334,3.629166666666667
cumulative,88,58201,4800,Logistic Regression,42,C=0.1,0.8297996159108911,0.13196896230463,0.3858333333333333,0.9239583333333333,1.8208333333333333
cumulative,88,58201,4800,Random Forest,42,depth=10,0.8698331604455383,0.12962195028486675,0.48020833333333335,1.1970833333333333,2.391875
cumulative,88,58201,4800,XGBoost,42,depth=6,0.872525701153704,0.11474157869815826,0.2891666666666667,0.6647916666666667,1.2908333333333333
cumulative,88,58201,4800,LightGBM,42,leaves=31,0.885044782663194,0.10983806725014134,0.30041666666666667,0.6991666666666667,1.36375
cumulative,88,58201,4800,Dummy,7,const,0.36291666666666667,0.36291666666666667,0.7258333333333333,1.8145833333333334,3.629166666666667
cumulative,88,58201,4800,Logistic Regression,7,C=0.1,0.8297996159108911,0.13196896230463,0.3858333333333333,0.9239583333333333,1.8208333333333333
cumulative,88,58201,4800,Random Forest,7,depth=10,0.8662897714550687,0.1339311144241714,0.4814583333333333,1.2002083333333333,2.398125
cumulative,88,58201,4800,XGBoost,7,depth=6,0.872525701153704,0.11474157869815826,0.2891666666666667,0.6647916666666667,1.2908333333333333
cumulative,88,58201,4800,LightGBM,7,leaves=31,0.885044782663194,0.10983806725014134,0.30041666666666667,0.6991666666666667,1.36375
cumulative,88,58201,4800,Dummy,123,const,0.36291666666666667,0.36291666666666667,0.7258333333333333,1.8145833333333334,3.629166666666667
cumulative,88,58201,4800,Logistic Regression,123,C=0.1,0.8297996159108911,0.13196896230463,0.3858333333333333,0.9239583333333333,1.8208333333333333
cumulative,88,58201,4800,Random Forest,123,depth=20,0.8692568771715624,0.13014566876008418,0.46020833333333333,1.1458333333333333,2.2885416666666667
cumulative,88,58201,4800,XGBoost,123,depth=6,0.872525701153704,0.11474157869815826,0.2891666666666667,0.6647916666666667,1.2908333333333333
cumulative,88,58201,4800,LightGBM,123,leaves=31,0.885044782663194,0.10983806725014134,0.30041666666666667,0.6991666666666667,1.36375
cumulative,89,59337,5033,Dummy,42,const,0.3828730379495331,0.3828730379495331,0.7657460758990662,1.9143651897476655,3.828730379495331
cumulative,89,59337,5033,Logistic Regression,42,C=0.1,0.838631654462196,0.133825587608841,0.3920127160739122,0.9314524140671567,1.8305185773892312
cumulative,89,59337,5033,Random Forest,42,depth=10,0.8808573683034234,0.1380734777391135,0.4937413073713491,1.2328631035167892,2.4647327637591894
cumulative,89,59337,5033,XGBoost,42,depth=3,0.884735387241312,0.11577260494232178,0.34730776872640573,0.8342936618319094,1.6459368170077489
cumulative,89,59337,5033,LightGBM,42,leaves=31,0.8960975330792331,0.11083669609299217,0.30260282137889927,0.718656864693026,1.4120802702165707
cumulative,89,59337,5033,Dummy,7,const,0.3828730379495331,0.3828730379495331,0.7657460758990662,1.9143651897476655,3.828730379495331
cumulative,89,59337,5033,Logistic Regression,7,C=0.1,0.838631654462196,0.133825587608841,0.3920127160739122,0.9314524140671567,1.8305185773892312
cumulative,89,59337,5033,Random Forest,7,depth=10,0.8795975973002715,0.13890417431439234,0.4945360619908603,1.2342539241009338,2.4671170276177232
cumulative,89,59337,5033,XGBoost,7,depth=3,0.884735387241312,0.11577260494232178,0.34730776872640573,0.8342936618319094,1.6459368170077489
cumulative,89,59337,5033,LightGBM,7,leaves=31,0.8960975330792331,0.11083669609299217,0.30260282137889927,0.718656864693026,1.4120802702165707
cumulative,89,59337,5033,Dummy,123,const,0.3828730379495331,0.3828730379495331,0.7657460758990662,1.9143651897476655,3.828730379495331
cumulative,89,59337,5033,Logistic Regression,123,C=0.1,0.838631654462196,0.133825587608841,0.3920127160739122,0.9314524140671567,1.8305185773892312
cumulative,89,59337,5033,Random Forest,123,depth=10,0.8869960181421312,0.13228003679807934,0.4830121200079475,1.2054440691436519,2.4094973177031593
cumulative,89,59337,5033,XGBoost,123,depth=3,0.884735387241312,0.11577260494232178,0.34730776872640573,0.8342936618319094,1.6459368170077489
cumulative,89,59337,5033,LightGBM,123,leaves=31,0.8960975330792331,0.11083669609299217,0.30260282137889927,0.718656864693026,1.4120802702165707
cumulative,90,60434,5234,Dummy,42,const,0.37351929690485286,0.37351929690485286,0.7470385938097057,1.8675964845242645,3.735192969048529
cumulative,90,60434,5234,Logistic Regression,42,C=0.1,0.8421509580308714,0.1289362269480735,0.38288116163546043,0.9130683989300726,1.796713794421093
cumulative,90,60434,5234,Random Forest,42,depth=None,0.8839526543448811,0.12875519173335595,0.47669086740542604,1.188574703859381,2.3750477646159727
cumulative,90,60434,5234,XGBoost,42,depth=3,0.8867477737190295,0.11183157563209534,0.33282384409629345,0.7930836836071838,1.5601834161253343
cumulative,90,60434,5234,LightGBM,42,leaves=15,0.8950847016999088,0.11135801182021611,0.3119984715322889,0.7447458922430263,1.465991593427589
cumulative,90,60434,5234,Dummy,7,const,0.37351929690485286,0.37351929690485286,0.7470385938097057,1.8675964845242645,3.735192969048529
cumulative,90,60434,5234,Logistic Regression,7,C=0.1,0.8421509580308714,0.1289362269480735,0.38288116163546043,0.9130683989300726,1.796713794421093
cumulative,90,60434,5234,Random Forest,7,depth=None,0.8861757511876365,0.12741933621425441,0.4551012609858617,1.1354604508979749,2.26939243408483
cumulative,90,60434,5234,XGBoost,7,depth=3,0.8867477737190295,0.11183157563209534,0.33282384409629345,0.7930836836071838,1.5601834161253343
cumulative,90,60434,5234,LightGBM,7,leaves=15,0.8950847016999088,0.11135801182021611,0.3119984715322889,0.7447458922430263,1.465991593427589
cumulative,90,60434,5234,Dummy,123,const,0.37351929690485286,0.37351929690485286,0.7470385938097057,1.8675964845242645,3.735192969048529
cumulative,90,60434,5234,Logistic Regression,123,C=0.1,0.8421509580308714,0.1289362269480735,0.38288116163546043,0.9130683989300726,1.796713794421093
cumulative,90,60434,5234,Random Forest,123,depth=20,0.8884050345274788,0.12626346938033253,0.45949560565533054,1.1410011463507834,2.276843714176538
cumulative,90,60434,5234,XGBoost,123,depth=3,0.8867477737190295,0.11183157563209534,0.33282384409629345,0.7930836836071838,1.5601834161253343
cumulative,90,60434,5234,LightGBM,123,leaves=15,0.8950847016999088,0.11135801182021611,0.3119984715322889,0.7447458922430263,1.465991593427589
cumulative,91,61724,5478,Dummy,42,const,0.39357429718875503,0.39357429718875503,0.7871485943775101,1.9678714859437751,3.9357429718875503
cumulative,91,61724,5478,Logistic Regression,42,C=0.1,0.8429741704518506,0.13703078544282346,0.4213216502373129,1.019897772909821,2.0175246440306682
cumulative,91,61724,5478,Random Forest,42,depth=20,0.8934471107754877,0.1340753815451592,0.4954362906170135,1.2320189850310332,2.4596568090543993
cumulative,91,61724,5478,XGBoost,42,depth=9,0.8856694661099618,0.12632709741592407,0.34209565534866737,0.8163563344286235,1.606790799561884
cumulative,91,61724,5478,LightGBM,42,leaves=31,0.8992177743529317,0.11871977966889395,0.337166849215042,0.8125228185469149,1.60478276743337
cumulative,91,61724,5478,Dummy,7,const,0.39357429718875503,0.39357429718875503,0.7871485943775101,1.9678714859437751,3.9357429718875503
cumulative,91,61724,5478,Logistic Regression,7,C=0.1,0.8429741704518506,0.13703078544282346,0.4213216502373129,1.019897772909821,2.0175246440306682
cumulative,91,61724,5478,Random Forest,7,depth=20,0.8955882916281215,0.1343507819099706,0.4954362906170135,1.2342095655348668,2.465498357064622
cumulative,91,61724,5478,XGBoost,7,depth=9,0.8856694661099618,0.12632709741592407,0.34209565534866737,0.8163563344286235,1.606790799561884
cumulative,91,61724,5478,LightGBM,7,leaves=31,0.8992177743529317,0.11871977966889395,0.337166849215042,0.8125228185469149,1.60478276743337
cumulative,91,61724,5478,Dummy,123,const,0.39357429718875503,0.39357429718875503,0.7871485943775101,1.9678714859437751,3.9357429718875503
cumulative,91,61724,5478,Logistic Regression,123,C=0.1,0.8429741704518506,0.13703078544282346,0.4213216502373129,1.019897772909821,2.0175246440306682
