window,cutoff_week,n_train,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,37,8612,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,37,8612,Logistic Regression,42,C=0.1,0.6483592150751861,0.2562671410629422,0.6378204340452724,1.5751960085531005,3.137488632732814
cumulative,37,8612,Random Forest,42,depth=10,0.6305879296719017,0.23157543048980825,0.77408017302824,1.9340575613832427,3.867353208641581
cumulative,37,8612,XGBoost,42,depth=3,0.6444900568174239,0.27266979217529297,0.6532061837933493,1.6173470641728316,3.224248531471969
cumulative,37,8612,LightGBM,42,leaves=31,0.6034590487258993,0.2839236311046964,0.6395163074200605,1.5726890653034138,3.127976995109003
cumulative,37,8612,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,37,8612,Logistic Regression,7,C=0.1,0.6483592150751861,0.2562671410629422,0.6378204340452724,1.5751960085531005,3.137488632732814
cumulative,37,8612,Random Forest,7,depth=10,0.644318484212463,0.23055262176709876,0.7647160026544105,1.9106102686361737,3.820434045272446
cumulative,37,8612,XGBoost,7,depth=3,0.6444900568174239,0.27266979217529297,0.6532061837933493,1.6173470641728316,3.224248531471969
cumulative,37,8612,LightGBM,7,leaves=31,0.6034590487258993,0.2839236311046964,0.6395163074200605,1.5726890653034138,3.127976995109003
cumulative,37,8612,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,37,8612,Logistic Regression,123,C=0.1,0.6483592150751861,0.2562671410629422,0.6378204340452724,1.5751960085531005,3.137488632732814
cumulative,37,8612,Random Forest,123,depth=10,0.6233598273490374,0.23380346270012373,0.7737606606532799,1.9335905817583012,3.86664045026667
cumulative,37,8612,XGBoost,123,depth=3,0.6444900568174239,0.27266979217529297,0.6532061837933493,1.6173470641728316,3.224248531471969
cumulative,37,8612,LightGBM,123,leaves=31,0.6034590487258993,0.2839236311046964,0.6395163074200605,1.5726890653034138,3.127976995109003
