window,cutoff_week,n_train,model,pr_auc,pr_auc_sd,brier,ci_low,ci_high
sliding,50,20452,LightGBM,0.6420291078758431,0.0,0.273154091363668,0.6337140613031068,0.6499945669509881
sliding,50,20452,Logistic Regression,0.707095327773064,0.0,0.24032343713576343,0.6993054817439188,0.7149173818134841
sliding,50,20452,Random Forest,0.6846913144612826,0.00498922755404201,0.22808841354107814,,
sliding,50,20452,XGBoost,0.6706169399300373,0.0,0.26208990812301636,,
sliding,51,20767,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,51,20767,LightGBM,0.6300229064169227,0.0,0.2852304811728879,0.6217268658828097,0.6378687361409227
sliding,51,20767,Logistic Regression,0.7114753310189309,0.0,0.2334199749581675,0.704245085130062,0.7186495160935781
sliding,51,20767,Random Forest,0.661836888945973,0.021327517868271736,0.23680372063181795,,
sliding,51,20767,XGBoost,0.641259811956238,0.0,0.29360634088516235,,
sliding,52,21257,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,52,21257,LightGBM,0.6396987628688088,0.0,0.2852587528673761,0.6314074283785199,0.6479337937376887
sliding,52,21257,Logistic Regression,0.7115927770743792,0.0,0.23500798667238199,0.7038548184240239,0.7191221091709565
sliding,52,21257,Random Forest,0.6724870168338196,0.018658507260505632,0.23157207356748266,,
sliding,52,21257,XGBoost,0.6286591335106699,0.0,0.29996269941329956,,
sliding,53,21637,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,53,21637,LightGBM,0.6778337758785238,0.0,0.2510939586574912,0.6357911200483272,0.6533262318638141
sliding,53,21637,Logistic Regression,0.710774074146193,0.0,0.21734733110394355,0.7051181496391724,0.7199072959456716
sliding,53,21637,Random Forest,0.6832262714401406,0.013021718254357061,0.22856041101903093,,
sliding,53,21637,XGBoost,0.6928217713979157,0.0,0.25329020619392395,,
sliding,54,21379,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,54,21379,LightGBM,0.6589313273661902,0.0,0.27406306044105244,0.6623538256287284,0.6773569910319969
sliding,54,21379,Logistic Regression,0.7100848193445118,0.0,0.3520846149705433,0.7054228520830408,0.7203103372487413
sliding,54,21379,Random Forest,0.7005982698585648,0.006742608355398189,0.22294789226592968,,
sliding,54,21379,XGBoost,0.6713783408809763,0.0,0.28244417905807495,,
sliding,55,21083,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
sliding,55,21083,LightGBM,0.6975380693283771,0.0,0.24403855231223784,0.6694717976470157,0.6847163502204652
